"","symbol","company","exchange","date.x","price","currency","actions","date.y","open","close","adjusted","returns","year"
"853","5906.TW","Taiwan Enterprise(Cayman)Co","Taiwan",2011-10-24,24,"TWD","Priced",2011-10-24,175.098999,156.339005,155.424194,5.51412520833333,2011
"854","BJBR.JK","Bank Jabar","Jakarta",2010-07-08,600,"IDR","Priced",2010-07-08,900,900,558.197632,0.5,2010
"855","EMIS.L","EMIS Group PLC","LSE",2010-03-29,3,"GBP","Priced",2010-03-29,320,329,268.209961,108.666666666667,2010
"856","1999.HK","Man Wah Holdings Ltd","HKSE",2010-04-09,6.8,"HKD","Priced",2010-04-09,1.87,1.675,0.682634,-0.753676470588235,2010
"857","MED.MC","Medcomtech SA","MCE",2010-03-25,3.39,"EUR","Priced",2010-03-25,4.10762,4.10762,4.022777,0.211687315634218,2010
"858","IHGZT.IS","Ihlas Gazetecilik AS","Istanbul",2010-06-14,1,"TRY","Priced",2010-06-14,1.26667,1.26667,1.26667,0.26667,2010
"859","BNR.F","Brenntag AG","Frankfurt",2010-03-29,50,"EUR","Priced",2012-03-06,28.82,27.865,21.220802,-0.4427,2010
"860","4746.TW","Formosa Laboratories Inc","Taiwan",2011-03-01,78,"TWD","Priced",2011-03-01,98.972099,92.964798,74.626587,0.191856384615385,2011
"861","JAYS.ST","Jays AB","SAT",2010-05-18,0.4,"SEK","Priced",2010-05-18,4.12874,3.93521,3.93521,8.838025,2010
"862","ALDEI.PA","Deinove SA","Paris",2010-04-20,8.33,"EUR","Priced",2010-04-27,8.2,8,8,-0.0396158463385354,2010
"863","BGS.V","Baroyeca Gold & Silver Inc","TSXV",2010-12-15,0.15,"CAD","Priced",2011-01-13,0.21,0.21,0.21,0.4,2010
"864","IPOL.JK","Indopoly Swakarsa Industry PT","Jakarta",2010-07-09,210,"IDR","Priced",2010-07-09,210,235,220.879562,0.119047619047619,2010
"865","ALY.V","Alya Ventures Ltd","TSXV",2010-08-25,0.1,"CAD","Priced",2000-12-05,5.4,5.4,5.4,53,2010
"866","COFA.PA","Coface SA","Paris",2014-06-27,10.4,"EUR","Priced",2014-06-27,10.41,11.29,9.53963,0.085576923076923,2014
"867","NTG","Tortoise MLP Fund Inc","NYSE",2010-07-28,25,"USD","Priced",2010-07-29,25,25,13.710908,0,2010
"868","IKA.L","Ilika PLC","LSE",2010-05-14,0.51,"GBP","Priced",2010-05-14,52.084999,56.549,56.549,109.880392156863,2010
"869","AKSEN.IS","Aksa Enerji Uretim AS","Istanbul",2010-05-21,4.9,"TRY","Priced",2010-05-21,4.74,4.74,4.74,-0.0326530612244899,2010
